,model_name,test_accuracy,test_precision,test_recall,test_f1
45,dense192_dense256_dense128,0.813953488372093,0.9259259259259259,0.8064516129032258,0.8620689655172414
46,dense192_dense256_dense192,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
47,dense192_dense256_dense256,0.8604651162790697,0.8378378378378378,1.0,0.911764705882353
48,dense256_dense64_dense64,0.813953488372093,0.8285714285714286,0.9354838709677419,0.8787878787878788
49,dense256_dense64_dense128,0.7906976744186046,0.775,1.0,0.8732394366197184
50,dense256_dense64_dense192,0.813953488372093,0.8484848484848485,0.9032258064516129,0.875
51,dense256_dense64_dense256,0.8372093023255814,0.8157894736842105,1.0,0.898550724637681
52,dense256_dense128_dense64,0.8604651162790697,0.9032258064516129,0.9032258064516129,0.9032258064516129
53,dense256_dense128_dense128,0.8372093023255814,0.8333333333333334,0.967741935483871,0.8955223880597015
54,dense256_dense128_dense192,0.8604651162790697,0.9032258064516129,0.9032258064516129,0.9032258064516129
55,dense256_dense128_dense256,0.8372093023255814,0.9,0.8709677419354839,0.8852459016393444
56,dense256_dense192_dense64,0.813953488372093,0.8108108108108109,0.967741935483871,0.8823529411764706
57,dense256_dense192_dense128,0.6046511627906976,0.8888888888888888,0.5161290322580645,0.6530612244897959
58,dense256_dense192_dense192,0.813953488372093,0.7948717948717948,1.0,0.8857142857142858
59,dense256_dense192_dense256,0.813953488372093,0.896551724137931,0.8387096774193549,0.8666666666666666
60,dense256_dense256_dense64,0.8372093023255814,0.9285714285714286,0.8387096774193549,0.8813559322033899
61,dense256_dense256_dense128,0.7674418604651163,0.7560975609756098,1.0,0.8611111111111112
62,dense256_dense256_dense192,0.7906976744186046,0.7894736842105263,0.967741935483871,0.8695652173913043
63,dense256_dense256_dense256,0.813953488372093,0.9259259259259259,0.8064516129032258,0.8620689655172414
